Country,Total populationa (000s) / Male,Total populationa (000s) / Female,Total populationa (000s) / Both sexes,Life expectancy at birthb (years) / Male,Life expectancy at birthb (years) / Female,Life expectancy at birthb (years) / Both sexes,Healthy life expectancy at birthb (years) / Male,Healthy life expectancy at birthb (years) / Female,Healthy life expectancy at birthb (years) / Both sexes,Maternal mortality ratioc (per 100 000 live births),Proportion of births attended by skilled health personneld (%),Under-five mortality ratee (per 1000 live births),Neonatal mortality ratee (per 1000 live births),New HIV infectionsf (per 1000 uninfected population),Tuberculosis incidenceg (per 100 000 population),Malaria incidenceh (per 1000 population at risk),Hepatitis B surface antigen (HBsAg) prevalence among children under 5 yearsi (%),Reported number of people requiring interventions against NTDsj,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70k (%)",Suicide mortality ratek (per 100 000 population),Total alcohol per capita (≥ 15 years of age) consumptionl (litres of pure alcohol),Road traffic mortality ratek (per 100 000 population),Proportion of women of reproductive age who have their need for family planning satisfied with modern methodsm (%),Adolescent birth raten (per 1000 women aged 15–19 years),Adolescent birth raten (per 1000 women aged 10-14 years),UHC: Service coverage indexo,Population with household expenditures on health > 10% of total household expenditure or incomep (%),Population with household expenditures on health > 25% of total household expenditure or incomep (%),Age-standardized mortality rate attributed to household and ambient air pollutionq  (per 100 000 population) ,Mortality rate attributed to exposure to unsafe WASH servicesr (per 100 000 population),Mortality rate from unintentional poisoningk (per 100 000 population),Age-standardized prevalence of tobacco use among persons 15 years and olders  (%) ,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-oldst (%),Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended aget (%) ,Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year oldst (%),Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girlst (%),"Total net official development assistance to medical research and basic health sectors per capitau (US$), by recipient country

",Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basisv (%),Density of medical doctorsw (per 10 000 population) ,Density of nursing and midwifery personnelw (per 10 000 population) ,Density of dentistsw (per 10 000 population) ,Density of pharmacistsw (per 10 000 population) ,Average of 13 International Health Regulations core capacity scoresx,Proportion of bloodstream infections due methicillin-resistant Staphylococcus aureusy (%),Proportion of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporiny (%),Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE)z (%),Prevalence of stunting in children under 5aa (%),Prevalence of wasting in children under 5aa (%),Prevalence of overweight in children under 5aa (%),Prevalence of anaemia in women of reproductive age (15–49 years)ab  (%),Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 monthsac (%) ,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetimeac (%) ,Proportion of population using safely-managed drinking-water servicesad (%),Proportion of population using safely-managed sanitation servicesad (%),Proportion of population using a hand-washing facility with soap and waterad (%),Proportion of safely treated domestic wastewater flowsae (%),Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending planaf (constant 2020 US$ millions),Proportion of population with primary reliance on clean fuels and technologyag (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areasag (µg/m3),Mortality rate due to homicidek (per 100 000 population),Number of cases of poliomyelitis caused by wild poliovirus (WPV)ah,Age-standardized prevalence of hypertension among adults aged 30-79 yearsai (%),Prevalence of obesity among children and adolescents (5–19 years)aj (%),Age-standardized prevalence of obesity among adults (18+ years)aj (%)
Afghanistan,19976,18952,38928,63.3,63.2,63.2,54.7,53.2,53.9,638,62,58,35,0.04,193,8.4,0.39,14367281,35.3,4.1,NaN,15.9,42.2,62,0.2,37,23.8,5.6,211.1,13.9,1,23.3,70,43,68,NaN,6.15,NaN,2.5,4.5,0.7,0.3,41,NaN,NaN,3.9,35.1,5.1,3.9,42.6,35,46,28,NaN,38,NaN,140.29,33,63.6,8.5,1,40.2,3.1,5.5
Albania,1465,1413,2878,76.3,79.9,78,68,70.3,69.1,15,100,10,8,0.03,15,NaN,0.29,6,11.4,4.3,6.8,11.7,6.3,14.2,0.3,62,16.7,5,68,0.2,0.3,22.4,98,94,92,NaN,2.03,NaN,18.8,60.5,10.3,10.8,NaN,NaN,NaN,NaN,9.6,1.6,14.6,24.8,6,13,71,48,NaN,13,48.53,81,19.3,3.6,0,41.8,7.6,21.7
Algeria,22154,21697,43851,76.2,78.1,77.1,66.7,66.1,66.4,112,99,23,16,0.04,59,NaN,0.08,11599,13.9,2.5,0.6,20.9,77.2,12,0,75,NaN,NaN,49.7,1.9,0.7,21,NaN,NaN,NaN,NaN,1.26,NaN,17.2,15.5,3.7,4.5,77,NaN,NaN,10.7,9.3,2.7,12.9,33.3,NaN,NaN,72,18,85,76,3.01,100,34.1,1.7,0,36.2,13.5,27.4
Andorra,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,3,1,NaN,3,NaN,0.02,0,NaN,NaN,12.3,NaN,NaN,2.7,0,77,NaN,NaN,NaN,NaN,NaN,31.8,99,93,96,77,NaN,NaN,33.3,40.1,8.2,10.1,NaN,NaN,NaN,16.5,NaN,NaN,NaN,12.1,NaN,NaN,91,100,NaN,100,NaN,100,9.5,NaN,NaN,31,12.8,25.6
Angola,16261,16605,32866,60.7,65.5,63.1,53.6,56.2,54.8,241,50,71,27,0.69,350,251.6,4.57,7698802,22.2,6.1,7.8,26.1,29.8,163,10.7,39,35.5,12.5,118.5,48.8,2,NaN,51,41,47,NaN,1.06,NaN,2.1,4.1,0.5,0.7,40,NaN,NaN,5.4,37.7,4.9,3.5,44.5,25,38,NaN,NaN,27,NaN,4.61,50,40.3,9.2,0,38.7,2.4,8.2
Antigua and Barbuda,47,51,98,74.9,78,76.5,66.2,67.7,67,42,99,6,3,NaN,2,NaN,0.19,1207,17.5,0.4,9.4,0,NaN,30.4,0.3,72,NaN,NaN,29.9,0.1,0.7,NaN,96,78,NaN,NaN,0.41,NaN,27.7,90.8,0.4,NaN,52,NaN,NaN,11.3,NaN,NaN,NaN,17.2,NaN,NaN,NaN,NaN,NaN,NaN,0.01,100,21.1,2.4,0,42.6,11.5,18.9
Argentina,22049,23147,45196,73.5,79.5,76.6,65.4,68.8,67.1,39,99,9,5,0.13,31,NaN,0.01,161306,15.7,8.4,9.5,14.1,NaN,40.9,1.1,73,9.6,2.5,26.6,0.4,0.4,24.5,74,71,75,46,0.04,NaN,40.6,26,15.3,NaN,65,38,21,15.5,7.8,1.6,12.9,11.9,5,27,NaN,NaN,NaN,36,32.58,100,12.3,6.1,0,47.5,16.9,28.3
Armenia,1394,1569,2963,72.5,79.2,76,64.9,69.1,67.1,26,100,11,6,0.11,23,NaN,0.06,70,19.9,3.3,4.7,20,40.2,18.9,0,69,21,7.1,54.8,0.2,0.7,25.5,91,94,92,8,3.21,NaN,44,49.5,5.6,0.5,84,NaN,NaN,5.7,9.1,4.4,10.8,17.3,5,10,87,69,95,40,15.27,98,45.5,3.8,0,47.3,4.8,20.2
Australia,12699,12801,25500,81.3,84.8,83,70.2,71.7,70.9,6,99,4,2,0.03,7,NaN,0.13,20401,8.6,12.5,10.4,4.9,NaN,8.7,0.1,87,2.5,0.4,8.4,NaN,0.1,13.6,95,94,97,66,NaN,NaN,41.3,131.4,6.2,9,88,18,13,16.2,2.1,NaN,18.5,8.5,3,23,NaN,74,NaN,76,NaN,100,7.3,1,0,29.3,12.4,29
Austria,4440,4567,9006,79.4,83.8,81.6,69.9,71.9,70.9,5,98,4,2,NaN,5,NaN,0.16,22,10.4,14.6,11.9,4.9,NaN,5.2,0,82,NaN,NaN,15.3,0.1,0.2,26.4,85,84,NaN,NaN,NaN,NaN,52.9,105.6,5.7,7.2,71,5,9,15.7,NaN,NaN,NaN,13,4,15,99,100,NaN,99,NaN,100,12.9,0.5,0,33.8,8.6,20.1
Azerbaijan,5065,5075,10139,68.8,74.1,71.4,62.1,65.2,63.6,26,100,19,10,0.04,58,NaN,0.06,686000,27.2,4.1,1,6.7,NaN,42.2,0,65,NaN,NaN,63.9,1.1,0.9,24,79,79,79,NaN,0.59,NaN,31.7,64.3,2.7,2,NaN,NaN,NaN,3.9,16.3,3.2,9.4,35.1,5,14,88,NaN,NaN,57,48.6,97,23.2,2.5,0,41,4.9,19.9
Bahamas,191,202,393,69.9,76.6,73.2,62.3,66.5,64.4,70,99,12,7,0.28,9,NaN,0.16,3,19.9,3.5,4.8,7.7,NaN,29,0.3,70,NaN,NaN,19.9,NaN,0.2,10.6,83,83,83,4,NaN,NaN,19.4,45.7,2.6,NaN,55,NaN,NaN,15.3,NaN,NaN,NaN,14.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,17.7,38.1,0,44.5,17.3,31.6
Bahrain,1100,601,1702,75,77,75.8,66,65.5,65.9,14,100,7,3,NaN,13,NaN,0.03,2,16.1,8.9,1.1,5.2,NaN,12.5,0,71,4.9,1.4,40.1,NaN,0.3,14.9,98,99,99,NaN,NaN,NaN,9.3,24.9,1,1.6,80,34,59,7.2,5.1,NaN,6.4,35.4,NaN,NaN,99,91,NaN,96,NaN,100,63.3,0.3,0,38.7,17.2,29.8
Bangladesh,83259,81430,164689,73,75.6,74.3,64.2,64.4,64.3,173,59,29,17,NaN,218,0.4,0.51,56339394,18.9,3.7,0,15.3,77.4,74,0.9,51,24.4,8.4,149,11.9,0.3,34.7,98,93,99,NaN,2.81,NaN,6.7,4.9,0.7,1.8,67,0,71,3,30.2,9.8,2.1,36.7,23,50,59,39,58,16,273.85,25,64.1,2.8,0,28.8,2.6,3.6
Barbados,139,148,287,74.3,77.7,76,66.2,67.7,67,27,98,12,8,NaN,2,NaN,0.18,301,16,0.6,10.4,8.2,69.9,NaN,NaN,74,16.4,3.8,31.1,0.2,0.7,8.5,85,78,86,7,NaN,NaN,24.9,30.6,3.1,NaN,NaN,NaN,NaN,10.6,6.6,6.8,11.4,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,25.4,11.3,0,41.8,12.3,23.1
Belarus,4399,5050,9449,69.7,79.6,74.8,62.3,69.4,66,2,100,3,1,0.13,26,NaN,0.29,7,23.8,21.2,11,7.6,73,11.7,0,74,13.5,0.6,60.7,NaN,3.3,30.5,97,98,NaN,NaN,0.38,NaN,45.4,110,6.2,3.6,94,NaN,NaN,11,3.9,NaN,6.8,20.6,6,21,95,74,NaN,56,0.32,100,18.1,2.7,0,49.2,7.6,24.5
Belgium,5744,5845,11590,79.3,83.5,81.4,69.8,71.3,70.6,5,NaN,4,2,NaN,8,NaN,0.09,18,10.6,18.3,10.8,5.8,NaN,5.1,0,85,NaN,NaN,15.7,0.3,0.4,23.4,97,85,94,NaN,NaN,NaN,60.8,200.8,11,19.8,NaN,7,10,15.7,2.3,0.4,5.1,13.6,5,22,100,89,NaN,92,NaN,100,12.8,1.3,0,30,7,22.1
Belize,198,200,398,71.4,77.8,74.4,63.5,67.3,65.3,36,95,12,8,0.53,23,0,0.6,2785,16.5,7.1,6.4,22.6,64.9,55.4,1,67,6.2,3.1,68.6,1,0.4,8.5,79,87,NaN,11,3.71,NaN,10.8,23.4,1.4,6.8,46,NaN,NaN,12.2,13.3,1.8,8,20.5,8,24,NaN,NaN,90,NaN,0.37,82,20.7,37.3,0,38,12.2,24.1
Benin,6054,6069,12123,61.2,65.7,63.4,54.5,56.6,55.5,397,78,86,30,0.19,55,388.3,2.87,5599018,22.6,7.8,2.2,26.8,28,108,1.8,38,5.5,1,205,59.7,2.6,6.9,72,NaN,68,NaN,5.8,NaN,0.6,3,NaN,0.3,39,NaN,NaN,3.7,31.3,5,2.2,55.2,15,26,NaN,NaN,12,NaN,42.54,4,38.8,6.2,0,31.2,2.6,9.6
Bhutan,410,362,772,72,74.4,73.1,63.2,63.5,63.4,183,96,28,15,0.09,165,NaN,0.14,229837,18.5,4.6,0.2,16.2,NaN,8,0,62,4,1.8,124.5,3.9,0.2,NaN,95,92,90,81,21.11,NaN,5,20.8,0.9,0.7,43,12,54,10.4,22.4,NaN,5.2,38.6,9,22,37,65,92,41,12.38,80,36.9,2.4,0,43.4,3.3,6.4
Bolivia (Plurinational State of),5858,5815,11673,71.1,73.1,72.1,63.2,63.3,63.3,155,81,25,13,0.08,105,3.1,0.14,189597,17.9,6.2,3.9,21.1,50.3,71,NaN,67,4.6,0.8,63.7,5.6,0.6,12.7,68,46,68,24,2.28,23.1,10.3,15.6,1.8,2.2,56,NaN,NaN,13.7,12.7,2,8.8,24.4,18,42,NaN,53,27,58,110.47,86,27.3,9.5,0,28.3,9.1,20.2
Bosnia and Herzegovina,1607,1674,3281,74.4,79.1,76.8,65.7,68.7,67.2,10,100,6,4,NaN,26,NaN,0.63,0,18.7,10.9,7.8,13.5,21.9,10.1,0,65,8.2,1.4,79.8,NaN,0.4,35,NaN,NaN,NaN,NaN,4.46,NaN,21.6,57.3,2.4,1.3,NaN,23,24,15.4,9.1,2.3,12.8,24.4,3,12,89,NaN,NaN,47,22.22,45,30.7,1.5,0,44.2,5.4,17.9
Botswana,1139,1213,2352,58.9,65.5,62.2,51.9,55.8,53.9,144,100,45,22,4.39,236,1.1,0.18,1461240,27,16.1,6.6,26.4,NaN,53.3,0.3,54,NaN,NaN,101.3,11.8,1.8,19.4,95,66,90,NaN,3.08,NaN,3.8,54.6,0.7,2.2,34,NaN,NaN,14.3,22.8,NaN,11,32.5,17,34,NaN,NaN,NaN,NaN,0.04,65,25,16.9,0,44.1,6.3,18.9
Brazil,104436,108124,212559,72.4,79.4,75.9,63.4,67.4,65.4,60,99,15,9,0.23,45,3.9,0.03,9629923,15.5,6.9,7.3,16,NaN,49.1,2.6,75,11.8,1.9,29.9,1,0.1,12.8,77,44,79,72,0.17,NaN,23.1,74,6.4,6.8,87,NaN,NaN,10.5,6.1,NaN,7.3,16.1,6,23,86,49,NaN,33,24.44,96,11.8,32.6,0,45,10.8,22.1
Brunei Darussalam,227,210,437,73.4,75.4,74.3,65.2,66.1,65.6,31,100,12,6,NaN,83,NaN,0.1,1,18.5,2.7,0.5,7.5,NaN,9.9,NaN,77,NaN,NaN,13.3,NaN,NaN,16.2,99,97,NaN,86,NaN,NaN,16.1,59,2.5,1.7,NaN,13,17,6.8,12.7,NaN,9.3,16.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,7.4,0.7,0,46.4,14.1,14.1
Bulgaria,3374,3574,6948,71.6,78.6,75.1,63.9,68.7,66.3,10,100,6,3,NaN,19,NaN,0.09,96,24.2,9.7,12.5,9.2,NaN,39.3,1.5,70,21.3,3.1,61.8,0.1,0.5,39,91,84,85,2,NaN,NaN,42.1,47.9,14,8.4,72,NaN,NaN,11.6,6.4,6.3,5.7,23.6,6,19,98,72,NaN,79,NaN,NaN,21.1,1.2,0,45.2,10.8,25
Burkina Faso,10445,10459,20903,60.1,65.2,62.7,53.4,56.3,54.9,320,80,85,26,0.1,46,389.9,1.66,5815599,23.9,7.5,11,31,52.6,123.7,2.6,43,3.1,0.4,206.2,49.6,3.1,14.3,91,71,91,NaN,6.34,0,0.9,9.3,NaN,0.2,54,100,64,9.6,25.5,8.1,2.6,52.5,11,19,NaN,NaN,9,NaN,82.8,11,54.2,9.6,0,30.5,1,5.6
Burundi,5900,5991,11891,61.5,66.1,63.8,54,57.2,55.6,548,85,54,21,0.15,103,294.9,1.35,3575616,25,6.2,7.5,35.5,39.6,58.2,0.7,44,3.3,0.4,179.9,65.4,3.2,11.8,93,83,93,NaN,8.09,0,0.7,6.5,NaN,0.1,38,NaN,NaN,8.5,57.6,4.8,3.1,38.5,22,40,NaN,NaN,6,NaN,41.98,1,37.2,6.6,0,34.2,1.9,5.4
Cabo Verde,279,277,556,69.9,77.9,74,62.2,67.2,64.8,58,97,14,9,NaN,39,0,0.26,150015,17.4,12.9,6.4,26.8,NaN,57.4,1,69,NaN,NaN,99.5,4.1,0.4,11.4,93,86,NaN,NaN,9.76,NaN,8.3,13,2.2,3.2,57,NaN,NaN,10.4,9.7,NaN,NaN,24.3,11,19,NaN,NaN,NaN,NaN,5.88,81,62,13.4,0,44.1,3.1,11.8
Cambodia,8162,8557,16719,67.2,72.7,70.1,59.8,63,61.5,160,89,26,13,0.07,274,5.8,0.19,5194507,22.5,4.8,7.8,19.6,56.5,30,0.1,61,17.9,4.9,149.8,6.5,0.5,21.1,92,80,90,NaN,10.71,NaN,1.9,10.1,0.9,0.3,57,68,74,7,29.9,9.7,2.1,47.1,9,19,28,NaN,74,NaN,197.73,37,27.2,2.1,0,25.7,3.2,3.9
Cameroon,13277,13269,26546,60.3,64.5,62.4,53.5,55.6,54.5,529,69,72,26,0.6,174,260,1.75,11348320,23.9,9,5.5,30.2,44.9,122.2,2.9,44,10.7,1.8,208.1,45.2,2.6,7.3,69,28,69,NaN,3.73,NaN,1.3,3.6,0.1,NaN,41,NaN,NaN,0.6,27.2,4.3,9.6,40.6,22,39,NaN,NaN,36,NaN,82.22,22,64.3,6.4,0,36.8,2.8,11.4
Canada,18732,19010,37742,80.4,84.1,82.2,70.5,72,71.3,10,98,5,3,NaN,6,NaN,0.34,0,9.6,11.8,8.8,5.3,NaN,6.5,0.1,89,3.5,0.8,7,0.4,0.3,13,91,83,84,87,NaN,NaN,24.4,110.7,6.6,11.1,97,NaN,NaN,18.6,NaN,NaN,11.8,10.4,3,NaN,99,84,NaN,77,NaN,100,6.7,1.6,0,22.1,12.3,29.4
Central African Republic,2394,2436,4830,50.2,56.3,53.1,44.5,48.4,46.4,829,40,103,39,NaN,540,336,3.75,4442825,36,12.3,1.7,37.7,27.6,184.4,8,32,NaN,NaN,211.9,82.1,2.8,NaN,42,NaN,40,NaN,9.21,NaN,0.7,2.6,NaN,NaN,31,NaN,NaN,4.8,40.1,5.3,2.6,46.8,21,29,6,14,22,1,15.31,1,42.9,21.3,0,41.3,2.2,7.5
Chad,8200,8226,16426,58,61.3,59.6,51.3,52.8,52,1140,39,110,33,0.22,144,206.3,10.79,6562501,22.7,6.4,1.3,32.4,17.5,138.5,3.9,28,NaN,NaN,280.1,101,3.5,8.3,52,NaN,NaN,NaN,5.11,NaN,0.6,2,NaN,NaN,40,NaN,NaN,5.2,35,12.9,3.4,45.4,16,29,6,10,25,2,30,7,66.8,9,0,37.9,1.5,6.1
Chile,9426,9691,19116,78.1,83.2,80.7,69,71.1,70,13,100,7,4,0.26,15,NaN,0.03,16,10,9,8.9,14.9,NaN,22.6,0.6,80,14.6,2.1,25.3,0.2,0.4,29.2,93,83,89,74,NaN,36.4,28.4,43.5,14,6.1,72,NaN,NaN,18.1,1.6,0.3,9.8,8.7,6,21,99,79,NaN,91,NaN,100,26.3,3.9,0,36.1,15.2,28
China,741999,705471,1447470,74.7,80.5,77.4,67.2,70,68.5,29,100,7,3,NaN,59,NaN,0.22,621,15.9,8.1,6,17.4,NaN,6.1,NaN,82,24,9.2,112.7,0.6,1.8,25.6,99,99,NaN,NaN,0.06,NaN,22.3,30.8,4.5,3.2,94,NaN,NaN,8.8,4.7,1.9,8.3,15.5,8,19,NaN,70,NaN,65,103.62,79,48.8,0.8,0,27.3,11.7,6.2
Colombia,24985,25898,50883,76.7,81.9,79.3,67.4,70.5,69,83,99,13,7,0.18,37,9.4,0.15,3237824,9.7,3.9,5.5,15.4,86.6,52.6,2.2,78,8.2,2.2,37,0.8,0.1,8.5,88,88,89,34,0.4,8.3,23.3,14.6,10.5,1.8,69,NaN,NaN,16.9,11.5,1.6,5.8,21.2,12,30,73,18,68,21,23.88,93,19,38.3,0,31,7,22.3
