Country,Total populationa (000s) / Male,Total populationa (000s) / Female,Total populationa (000s) / Both sexes,Life expectancy at birthb (years) / Male,Life expectancy at birthb (years) / Female,Life expectancy at birthb (years) / Both sexes,Healthy life expectancy at birthb (years) / Male,Healthy life expectancy at birthb (years) / Female,Healthy life expectancy at birthb (years) / Both sexes,Maternal mortality ratioc (per 100 000 live births),Proportion of births attended by skilled health personneld (%),Under-five mortality ratee (per 1000 live births),Neonatal mortality ratee (per 1000 live births),New HIV infectionsf (per 1000 uninfected population),Tuberculosis incidenceg (per 100 000 population),Malaria incidenceh (per 1000 population at risk),Hepatitis B surface antigen (HBsAg) prevalence among children under 5 yearsi (%),Reported number of people requiring interventions against NTDsj,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70k (%)",Suicide mortality ratek (per 100 000 population),Total alcohol per capita (≥ 15 years of age) consumptionl (litres of pure alcohol),Road traffic mortality ratek (per 100 000 population),Proportion of women of reproductive age who have their need for family planning satisfied with modern methodsm (%),Adolescent birth raten (per 1000 women aged 15–19 years),Adolescent birth raten (per 1000 women aged 10-14 years),UHC: Service coverage indexo,Population with household expenditures on health > 10% of total household expenditure or incomep (%),Population with household expenditures on health > 25% of total household expenditure or incomep (%),Age-standardized mortality rate attributed to household and ambient air pollutionq  (per 100 000 population) ,Mortality rate attributed to exposure to unsafe WASH servicesr (per 100 000 population),Mortality rate from unintentional poisoningk (per 100 000 population),Age-standardized prevalence of tobacco use among persons 15 years and olders  (%) ,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-oldst (%),Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended aget (%) ,Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year oldst (%),Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girlst (%),"Total net official development assistance to medical research and basic health sectors per capitau (US$), by recipient country

",Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basisv (%),Density of medical doctorsw (per 10 000 population) ,Density of nursing and midwifery personnelw (per 10 000 population) ,Density of dentistsw (per 10 000 population) ,Density of pharmacistsw (per 10 000 population) ,Average of 13 International Health Regulations core capacity scoresx,Proportion of bloodstream infections due methicillin-resistant Staphylococcus aureusy (%),Proportion of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporiny (%),Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE)z (%),Prevalence of stunting in children under 5aa (%),Prevalence of wasting in children under 5aa (%),Prevalence of overweight in children under 5aa (%),Prevalence of anaemia in women of reproductive age (15–49 years)ab  (%),Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 monthsac (%) ,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetimeac (%) ,Proportion of population using safely-managed drinking-water servicesad (%),Proportion of population using safely-managed sanitation servicesad (%),Proportion of population using a hand-washing facility with soap and waterad (%),Proportion of safely treated domestic wastewater flowsae (%),Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending planaf (constant 2020 US$ millions),Proportion of population with primary reliance on clean fuels and technologyag (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areasag (µg/m3),Mortality rate due to homicidek (per 100 000 population),Number of cases of poliomyelitis caused by wild poliovirus (WPV)ah,Age-standardized prevalence of hypertension among adults aged 30-79 yearsai (%),Prevalence of obesity among children and adolescents (5–19 years)aj (%),Age-standardized prevalence of obesity among adults (18+ years)aj (%)
New Zealand,2370,2452,4822,80.4,83.5,82,69.6,70.8,70.2,9,96,5,3,0.02,8,-,0.77,3,10.3,11,10.7,9.6,-,12.6,0,86,-,-,7.2,0.1,0.2,13.7,92,91,92,67,-,-,36.2,117.8,6.5,7.6,85,-,-,18.7,-,-,-,10.4,4,23,100,82,-,85,-,100,6.7,1.2,0,30.9,16.3,30.8
Nicaragua,3265,3360,6625,72.1,77.9,75,63.7,67.2,65.5,98,94,16,9,0.11,42,11.5,0.09,1595366,15.3,4.3,5.1,16.9,89.8,102.6,-,70,24.7,9.1,55.7,2.2,0.3,-,92,98,92,-,4.83,-,16.6,15.5,0.4,1.9,78,-,-,18.3,14.1,2.2,7.5,15.7,6,23,56,-,-,-,157.35,56,22.6,9.4,0,35.8,10.8,23.7
Niger,12170,12036,24207,62.1,64.6,63.3,55.3,55.8,55.5,509,44,78,24,0.05,83,324.1,3.44,10993882,21,5.3,0.5,25.5,45.5,154,4,37,6.5,0.9,251.8,70.8,3.3,7.4,81,60,81,-,5.43,-,0.3,2.2,-,-,46,-,-,9.4,46.7,9.8,1.9,49.5,13,-,-,16,23,4,201.49,2,89.4,9.6,0,41.5,1.4,5.5
Nigeria,104470,101670,206140,61.2,64.1,62.6,53.9,54.9,54.4,917,43,114,35,0.42,219,313.8,2.94,136378141,16.9,3.5,6.2,20.7,35.6,106,2,44,15.8,4.1,307.4,68.6,3.3,3.7,57,12,57,-,2.62,-,3.8,15,0.2,1.2,63,75,81,3.8,35.3,6.5,2.7,55.1,13,24,22,31,33,48,131.97,15,47.1,9.2,0,36.1,1.9,8.9
Niue,-,-,2,-,-,-,-,-,-,-,-,25,13,-,48,-,0.37,0,-,-,9.9,-,-,-,-,55,-,-,-,-,-,-,-,-,-,-,346.13,-,-,125,-,-,-,-,-,4.8,-,-,-,27.3,-,-,94,-,-,-,0.01,98,-,-,-,39.5,29.5,50
North Macedonia,1042,1041,2083,72.8,76.9,74.8,65.1,67.3,66.1,7,100,6,4,-,12,-,0.08,0,22.7,9.4,6.4,5.1,29.6,15.6,0.3,68,-,-,82.2,-,0.5,-,84,68,30,30,1.42,-,28.7,37.9,8.8,-,66,100,86,13.6,4.1,3.4,10,19.3,4,13,77,12,100,9,14.77,78,33.6,1.5,0,45.1,9.3,22.4
Norway,2740,2681,5421,81.1,84.1,82.6,71,71.6,71.4,2,99,2,1,0.01,3,-,0.02,2,8.7,11.8,7.1,2.1,-,2.3,0,86,-,-,8.6,0.2,0.3,16.2,97,95,96,90,-,-,50.5,184.2,9,8.8,95,2,5,17.5,-,-,-,12,4,20,99,65,-,76,-,100,7.6,0.6,0,30.5,9.1,23.1
Oman,3370,1736,5107,73,75.3,73.9,64.5,64.5,64.7,19,100,11,5,-,7,-,0.13,233,21.5,4.8,0.9,10.6,39.6,7.5,0.1,69,-,-,53.9,-,0.9,8,99,99,99,-,-,-,17.7,39.4,2.9,5.7,75,32,79,8,12.2,9.3,4.8,29.1,-,-,91,-,97,-,-,100,41.3,0.7,0,45.6,14.9,27
Pakistan,113672,107220,220892,64.6,66.7,65.6,56.9,56.8,56.9,140,68,65,40,0.12,259,2.5,0.91,25234450,29.4,8.9,0.3,13,48.6,54,0.4,45,4.5,0.5,173.6,19.6,1.6,20.2,77,74,80,-,2.56,-,11.2,4.8,1.2,1.5,52,70,82,4.9,36.7,7.1,3.4,41.3,16,29,36,-,80,-,164.83,49,62.6,6,4,43.2,3.1,8.6
Palau,-,-,18,-,-,-,-,-,-,-,97,17,9,-,64,-,0.03,0,-,-,-,-,-,33.8,0,59,-,-,-,-,-,17.6,96,83,75,-,454.31,-,17.7,64.6,3.3,2.8,47,-,-,15.8,-,-,-,28.5,14,31,91,-,-,-,3.76,100,8.7,-,-,44.2,31.4,55.3
Panama,2160,2155,4315,76.6,82.1,79.3,67.4,70,68.7,52,95,14,8,0.44,32,0.6,0.07,64414,10.7,2.9,7.8,13.9,65.2,67.8,2.6,77,6.2,0.7,25.8,1.9,-,5,74,74,74,44,2.09,-,16.3,32.1,3,2.2,76,-,-,22.7,14.7,-,10.8,21.2,8,16,-,-,-,-,2.98,88,14.5,17.2,0,36.1,10.5,22.7
Papua New Guinea,4568,4379,8947,63.4,67.4,65.3,56.2,58.1,57.1,145,56,44,21,0.39,441,164.3,1.36,6982087,36,3,2.1,12.6,49.2,68,1.1,33,-,-,152,16.3,1.4,39.3,39,27,39,-,12.44,-,0.7,4.5,-,0.1,-,-,-,6.4,48.4,-,8.9,34.4,31,51,-,-,30,-,17.13,9,12.2,11,0,27.8,9.8,21.3
Paraguay,3624,3508,7133,73.1,78.8,75.8,64.5,67.3,65.8,84,98,19,10,0.13,48,-,0.42,1999482,16,6,7,22,78.9,72,0.7,61,7.1,1.9,57.5,1.5,0.2,11.5,79,72,82,37,8.62,-,10.5,16.6,1.6,0.3,56,-,-,14.4,4.6,1,12,23,6,18,64,60,80,-,21.57,69,12,8,0,56.4,10.5,20.3
Peru,16379,16593,32972,78.5,81.3,79.9,69.2,69.8,69.5,88,96,13,7,0.13,116,2.3,0.06,359011,9.7,2.8,6.8,13.6,66.6,49.7,0.8,78,8.4,1.1,63.9,1.3,0.4,8.1,72,52,74,16,0.72,69.2,13.7,29.8,1.9,1,38,47,72,15.4,10.8,0.4,8,20.6,11,38,51,53,-,-,16.86,85,33.3,9.3,0,20.7,7.8,19.7
Philippines,55029,54552,109581,67.4,73.6,70.4,60.1,63.9,62,121,84,26,13,0.15,539,0.7,0.38,48539291,24.5,2.1,7,12,56,35.6,0.5,55,6.3,1.4,185.2,4.2,0.2,22.9,71,68,66,5,1.87,-,7.7,54.4,2.6,3.3,62,46,36,7.6,28.7,5.6,4.2,12.3,6,14,47,61,82,43,27.06,48,23.7,13.7,0,33.8,4.3,6.4
Poland,18338,19509,37847,74.5,81.9,78.3,65.9,71.3,68.7,2,100,4,3,-,10,-,0.01,14,17,11.3,11.9,9.4,-,9.4,0,74,14.1,1.3,37.9,-,0.5,24,90,95,62,-,-,-,37.7,68.7,10.3,9.7,69,15,18,11,2.3,-,6.7,-,3,13,98,91,-,82,-,100,21.9,0.8,0,49.2,9.1,23.1
Portugal,4824,5373,10197,78.6,84.4,81.6,69.6,72.2,71,8,99,3,2,0.07,16,-,0.02,1,11,11.5,12.1,8.2,-,7.6,0.1,84,-,-,9.8,0.2,0.3,25.4,99,95,98,78,-,-,54.8,74.1,10.6,9.4,85,-,-,13.7,3.3,0.6,8.5,13.2,4,18,95,85,-,74,-,100,8.4,0.9,0,32.3,10.4,20.8
Qatar,2165,716,2881,78,76.6,77.2,68.1,65.1,67.1,9,100,6,4,0.07,34,-,0.05,28,10.7,5.8,1.5,7.3,68.9,7.2,0,74,-,-,47.4,-,0.3,11.8,82,90,70,-,-,-,24.9,72,6.1,8.9,92,32,40,6.5,4.6,-,13.9,28.1,-,-,96,97,-,100,-,100,81.6,0.5,0,40.9,19.5,35.1
Republic of Korea,25666,25603,51269,80.3,86.1,83.3,71.3,74.7,73.1,11,100,3,1,-,49,-,0.09,0,7.3,28.6,8.5,8.6,-,0.9,0,87,12,2.9,20.5,1.8,0.2,20.8,-,-,-,-,-,-,24.8,81.8,5.2,7.6,95,48,38,14.3,2.2,-,8.8,13.5,8,-,99,100,-,100,-,100,26.5,0.8,0,26.7,8.5,4.7
Republic of Moldova,1932,2102,4034,69.3,77.1,73.3,61.9,67.1,64.5,19,100,14,11,0.24,74,-,0.2,30,24.1,14.7,12.9,7.3,63.9,18.4,0.1,67,18.7,3.6,78.3,-,5.5,29,86,93,72,40,2.92,25,31,46.8,4.1,3,60,56,89,12.1,4.9,1.9,4.3,26.1,9,27,74,-,-,38,25.06,96,14.1,4.1,0,48.3,4.2,18.9
Romania,9354,9884,19238,72,79.3,75.6,64.3,69.4,66.8,19,93,7,3,0.04,64,-,0.29,0,21,9.7,12.3,10.3,-,37.2,1.4,71,13.4,2.2,59.3,0.4,1.9,28,87,75,85,-,-,-,29.8,73.9,8,9.1,-,-,-,12.7,9.7,-,6.7,22.7,7,18,82,83,-,48,-,88,15.7,1.3,0,48.4,8.1,22.5
Russian Federation,67640,78294,145934,68.2,78,73.2,60.7,67.5,64.2,17,100,5,2,-,46,-,0.55,278,24.2,25.1,10.5,12,-,16.2,0.1,75,7.7,0.9,49.4,0.1,3.8,26.8,97,96,87,-,-,-,38.2,62.3,3.5,0.4,100,29,73,10.2,-,-,-,21.1,-,-,76,61,-,13,-,86,11.2,7.8,0,44.3,7.1,23.1
Rwanda,6367,6585,12952,66.9,71.2,69.1,59,61.4,60.2,248,94,40,18,0.34,58,230.5,0.49,5011488,20.2,5.6,8,29.4,62.9,31.8,0.3,54,1.1,0.1,121.4,19.3,1.7,13.7,91,91,91,68,10.28,-,1.2,9.5,0.2,0.7,67,-,-,8.9,32.6,1.1,5.2,17.2,23,38,12,-,5,-,46.49,2,39.4,4.3,0,29.8,1.7,5.8
Saint Kitts and Nevis,-,-,53,-,-,-,-,-,-,-,100,15,10,-,4,-,0.06,20,-,-,6.3,-,-,-,-,72,-,-,-,-,-,-,99,99,-,-,-,-,27.7,42.2,2.3,-,63,-,-,6.6,-,-,-,15.4,-,-,-,-,-,-,-,100,9.7,-,-,45.1,12.3,22.9
Saint Lucia,90,93,184,71.3,77.7,74.3,63,66.6,64.7,117,100,24,13,-,2,-,0.22,1318,17.7,7.9,9.6,29.8,72,25.3,0.9,72,6.6,1.9,30,0.6,0.1,-,86,71,-,74,26.32,-,6.4,31.5,1.7,4.4,59,-,-,8.2,2.8,3.7,6.9,14.3,-,-,-,-,-,-,0.36,94,22.9,20.2,0,39.8,8.8,19.7
Saint Vincent and the Grenadines,56,55,111,71.3,75.3,73.2,62.9,65.1,64,68,99,14,9,-,7,-,0.15,1790,20.7,1,7.2,7.4,-,47.2,0.7,73,-,-,47.6,1.3,-,-,97,99,-,12,10.65,-,9.4,70.1,1.7,-,22,-,-,9.5,-,-,-,17,-,-,-,-,-,-,1.8,94,23.1,29.4,0,39.3,12.4,23.7
Samoa,103,96,198,69.2,71.8,70.5,61.8,62.5,62.1,43,89,17,7,-,6,-,0.34,191219,31.2,12.6,2.8,13,39.4,54.9,0.4,53,-,-,85,1.5,0.4,25.3,79,44,-,-,52.8,-,6,32.7,1,0.3,-,-,-,14,6.8,3.1,7.1,26.8,18,40,46,48,79,47,0.84,36,11,2.8,0,38.3,21.7,47.3
San Marino,-,-,34,-,-,-,-,-,-,-,-,2,1,-,0,-,0.13,0,-,-,-,-,-,-,0,82,-,-,-,-,-,-,89,79,82,50,-,-,61.1,82.1,17.8,6.7,-,-,-,23.4,-,-,-,12.5,-,-,100,70,-,90,-,100,10.1,-,-,-,-,-
Sao Tome and Principe,110,109,219,68.8,72,70.4,60.9,62.2,61.6,130,97,16,8,-,118,8.8,1.31,210238,21,1.5,5.8,27.9,57.7,86.1,0.4,60,4.8,1.1,162.4,11.4,0.7,5.7,-,-,-,-,19.08,-,4.9,21.5,0.3,1.7,35,-,-,10.8,11.8,4.1,4,44.2,18,27,36,35,55,-,6.51,3,38.4,5.6,0,45.1,3.5,12.4
Saudi Arabia,20131,14683,34814,73.1,76.1,74.3,63.8,64.4,64,17,99,7,3,0.05,8,-,0,1051,20.9,6,0,35.9,-,-,-,73,1.3,0.6,83.7,-,0.8,14.3,95,96,95,-,-,-,27.4,58.2,5.6,8.6,91,100,58,11.1,3.9,-,7.6,27.5,-,-,-,59,-,80,-,100,64,1.9,0,34,17.4,35.4
Senegal,8171,8573,16744,66.8,70.1,68.6,58.8,59.9,59.4,315,74,38,21,0.08,117,49.9,0.93,5590970,19.5,6,0.7,23.5,53.2,71.3,0.9,49,-,-,160.7,23.9,1.9,6.9,91,69,92,31,6.13,7.7,0.9,5.4,0.1,0.1,60,-,-,4.3,17.2,8.1,2.1,52.7,12,24,-,24,22,14,128.86,24,59.8,7.6,0,40.5,1.8,8.8
Serbia,4280,4458,8737,73.5,78.3,75.9,65.4,68.4,66.9,12,100,6,4,0.02,13,-,0.04,0,22,11.4,8.9,7.5,38.4,12,0.3,71,8.1,0.5,62.5,0.7,0.3,39.8,92,84,87,-,1.37,-,31.1,60.9,2.1,8.1,68,-,-,12,5.3,2.6,10.8,22.8,4,17,75,18,-,27,36.33,80,25.1,1.2,0,46.1,9.8,21.5
Seychelles,50,48,98,70,77.1,73.3,61.9,66.4,64,53,100,14,8,-,11,-,0.09,1,21.1,8.1,8.8,11.3,-,68.3,1.1,70,2.6,1.3,49.3,0.2,0.5,20.2,97,99,94,24,-,-,22.5,229.5,4.3,12.8,48,-,-,10.2,7.4,4.3,9.8,25.1,-,-,-,-,-,-,-,100,13.7,14.8,0,44.3,10.8,14
Sierra Leone,3981,3996,7977,59.6,61.9,60.8,52.5,53.3,52.9,1120,87,108,31,0.7,298,328.2,1.98,7617601,23.5,6.7,5.3,33,53,102,3.9,39,16.4,3,324.1,81.3,2.8,13.5,91,67,91,-,8.53,-,0.7,7.5,-,0.2,51,-,-,5.8,26.8,5.4,4.7,48.4,20,36,11,14,21,8,32.71,1,56,7.9,0,40.8,2.5,8.7
Singapore,3062,2788,5850,81,85.5,83.2,72.4,74.7,73.6,8,100,2,1,0.01,46,-,0.13,35315,9.5,11.2,2,2.1,-,2.1,0,86,9,1.5,25.9,-,-,16.5,-,-,-,-,-,-,24.6,62.4,4.1,5.1,94,-,31,14.5,2.8,-,4.8,13,2,11,100,100,-,100,-,100,17.2,0.3,0,31.5,6.8,6.1
Slovakia,2658,2801,5460,74.8,81.4,78.2,66.2,70.8,68.5,5,98,6,3,-,3,-,0.31,3,15.5,12.1,11.1,6.1,-,26.9,0.3,77,2.6,-,33.5,-,0.5,31.5,97,98,96,-,-,-,35.6,60.5,5.2,8.2,64,-,-,12.8,-,-,-,23.5,6,18,99,82,-,80,-,100,18.3,1.1,0,42.7,8.1,20.5
Slovenia,1035,1044,2079,78.6,84.1,81.3,69,72.5,70.7,7,100,2,1,0.01,4,-,1.12,2,11.4,19.8,12.1,5.1,-,4.3,0.1,80,3.7,0.3,22.6,-,0.2,22,95,91,70,59,-,-,32.8,104.6,7.3,7.3,78,-,-,14.2,-,-,-,21.8,3,18,98,72,-,67,-,100,16.8,0.9,0,45.3,9.2,20.2
Solomon Islands,349,338,687,62.9,67.9,65.2,56.5,59.1,57.8,104,86,19,8,-,65,167.7,0.87,503483,39.2,14.7,1.7,16.5,38,78,-,50,-,-,137,6.2,2.3,36.5,94,51,93,22,28.22,-,1.9,21.6,0.7,1.2,51,-,-,10.4,29.3,8.5,4,37.7,28,50,-,-,-,-,21.05,9,11.8,3.9,0,29.8,4.3,22.5
Somalia,7924,7969,15893,54,59.2,56.5,48.3,51.3,49.7,829,32,115,37,0.02,259,52.2,6.32,3698691,30.4,7.9,0,27.4,2.1,118,1.2,27,0.1,0,212.8,86.6,4.9,-,42,-,-,-,5.41,-,0.2,1.1,-,-,33,47,-,-,27.4,-,2.9,43.1,-,-,-,32,25,-,22.28,3,27.7,5.4,0,36.1,3,8.3
South Africa,29216,30093,59309,62.2,68.3,65.3,54.6,57.7,56.2,119,97,32,11,4.6,554,0.8,3.1,16502598,24.1,23.5,9.5,22.2,79.7,43.9,1.2,67,1,0.1,86.7,13.7,1.7,20.3,84,76,83,-,0.81,-,7.9,49.7,1.1,2.7,68,20,28,15.3,23.2,3.4,12.9,30.5,13,24,-,-,44,61,3.96,87,29.4,35.9,0,44.1,11.3,28.3
South Sudan,5603,5591,11194,60.8,64.8,62.8,52.9,54.5,53.7,1150,-,98,40,1.37,232,286.9,13.03,8571203,16.8,3.9,-,36.7,-,-,-,32,13.4,4,165.1,63.3,2.3,-,49,-,-,-,11.72,-,0.4,3.4,-,0.3,54,-,-,2.1,30.6,-,5.7,35.6,27,41,-,-,-,-,25.75,0,34.6,14.3,0,34.2,-,-
Spain,22978,23776,46755,80.7,85.7,83.2,71.3,72.9,72.1,4,100,3,2,0.08,7,-,0.13,1,9.6,7.7,12.7,3.9,-,6,0.1,86,7.9,1.1,9.9,0.2,0.4,27.7,98,94,88,79,-,-,44.4,61.4,8.3,12.4,80,-,-,15.3,-,-,-,13.4,3,15,100,96,-,86,-,100,9.5,0.6,0,27.2,10.8,23.8
Sri Lanka,10267,11146,21413,73.8,79.8,76.9,65.1,69,67,36,100,7,4,0.01,64,-,0.34,34498,13.2,14,2.9,19.7,74.3,21,0,67,5.4,0.9,79.8,1.2,0.4,22,96,96,-,51,0.86,68.3,12.3,25,1.1,1,64,53,62,9.2,16,15.1,1.3,34.6,4,24,-,-,-,-,132.02,32,16.8,2.3,0,35.6,4.8,5.2
Sudan,21907,21942,43849,67.6,70.8,69.1,59.6,60.3,59.9,295,78,57,27,0.09,63,73.4,1.66,12458017,22.8,3.8,-,26.8,30.1,86.8,2.3,44,-,-,184.9,17.3,1.7,-,90,68,90,-,2.66,41,2.6,11.5,2.1,0.3,44,100,100,5.6,33.7,16.3,2.7,36.5,17,-,-,-,13,-,32.59,55,43,5.8,0,40.8,-,-
Suriname,295,292,587,68.5,74.6,71.5,60.7,64.2,62.4,120,98,18,11,0.3,29,1.7,0.07,617,22.7,25.4,7.4,15.3,57.5,55.8,2,67,4.9,1.4,56.7,2,0.3,-,51,50,-,4,7.41,-,8.2,39.3,0.6,0.4,46,-,-,15.7,8,5.5,4,21,8,28,56,25,72,24,0.45,94,30.2,5.8,0,42.9,13.9,26.4
Sweden,5059,5040,10099,80.8,84,82.4,71.7,72.1,71.9,4,-,3,1,-,4,-,0.13,18,8.4,14.7,9,3.1,86.7,3.4,0,87,-,-,7.2,0.2,0.2,24,97,95,97,82,-,-,70.9,118.5,8.2,16.2,88,5,8,18.8,-,-,-,13.6,6,21,100,95,-,95,-,100,6,1.1,0,30.2,6.7,20.6
Switzerland,4294,4361,8655,81.8,85.1,83.4,72.2,72.8,72.5,5,-,4,3,-,5,-,0.16,0,7.9,14.5,11.2,2.2,-,2,0,87,-,-,10.1,0.1,0.2,25.5,96,93,86,63,-,-,43.8,182.6,4.1,6.7,92,25,11,11.1,-,-,-,11.3,2,12,94,100,-,99,-,100,10.3,0.5,0,21.9,5.8,19.5
Syrian Arab Republic,8760,8741,17501,71.2,74.3,72.7,62.5,63.3,62.9,31,-,22,11,0.01,19,-,0.69,2440286,22.1,2,0.2,14.9,-,-,-,56,-,-,75.2,3.7,0.6,-,49,53,-,-,4.04,-,12.9,15.4,7.2,10.7,58,25,0,-,29.6,-,18.2,32.8,-,-,-,-,83,-,35.57,97,35.6,2.6,0,41.1,11.5,27.8
Tajikistan,4806,4732,9538,67.6,71.5,69.5,60.9,63.2,62,17,95,32,14,0.09,84,-,0.18,3375143,28.3,4.3,0.9,15.7,52.1,45.6,0,66,10.2,2.2,129.3,2.7,0.4,-,97,97,-,-,4.57,15,17.2,47.5,1.6,-,57,-,-,6.6,15.3,5.6,3.5,35.2,14,24,55,-,73,-,93.68,82,46.5,1.8,0,46.8,3,14.2
Thailand,33966,35834,69800,74.4,81,77.7,65.9,70.6,68.3,37,99,9,5,0.1,150,0.2,0.27,50131,13.7,8.8,8.5,32.2,88.2,31.7,0,83,1.9,0.3,61.5,3.5,0.2,22.1,97,87,-,-,0.24,-,9.5,31.5,2.7,6.3,88,11,39,13.9,12.3,7.7,9.2,24,9,24,-,26,85,24,1.51,84,31.9,4.3,0,29.2,11.3,10
Timor-Leste,666,652,1318,67.9,71.4,69.6,59.8,62,60.9,142,57,42,19,0.1,508,-,0.72,1361778,19.9,3.7,0.5,11.9,45.9,41.9,0.4,53,2.6,0.6,139.8,9.9,0.4,39.2,86,78,-,-,29.44,-,7.6,17.5,-,2.1,60,21,62,4.8,48.8,9.9,2.6,29.9,28,38,-,-,28,-,3.9,14,17.7,4.7,0,35.3,4.2,3.8
Togo,4119,4159,8279,61.5,67.2,64.3,54.7,57.8,56.2,396,69,64,24,0.45,36,228.9,3.27,4603985,23.9,8.8,2.7,28.7,39.6,79,1.5,44,13.4,2.4,249.6,41.6,1.9,6.8,82,46,82,-,4.67,-,0.8,5.1,-,0.3,57,-,-,5.4,23.8,5.7,2.4,45.7,13,25,20,9,17,15,9.97,10,46.1,8.9,0,36,2,8.4
Tonga,53,53,106,69.8,75.6,72.6,62.7,65.5,64,52,98,11,5,-,10,-,0.89,37131,24.8,3.8,0.4,33,49.9,-,0,56,-,-,73.3,1.4,1.1,31,99,99,-,-,62.37,-,9.5,45.4,1.4,0.8,55,-,-,7.5,2.6,1.1,12.6,28.5,17,37,30,34,70,29,0.56,84,11.1,3.4,0,43.3,26.7,48.2
Trinidad and Tobago,691,709,1399,72.5,79.9,76.1,64,68.6,66.2,67,100,17,11,0.07,18,-,0.19,59,17.1,8.7,6.5,9.3,-,-,-,73,3.9,1.9,38.6,0.1,0.1,-,-,-,-,-,-,0,44.8,40.7,3.2,6.6,-,-,26,10.2,8.7,-,11,17.7,7,28,-,-,-,-,-,100,24.4,39.4,0,42.4,11.1,18.6
Tunisia,5861,5958,11819,74.9,79.2,77,66.1,67.7,66.9,43,100,17,12,0.03,36,-,0.12,4902,15.7,3.3,2,16.5,62.7,6.3,0,70,16.7,2.4,56.1,1,0.7,24.6,92,92,82,-,2.65,-,13,25.1,3.1,2.3,66,14,31,12.6,8.6,2.1,16.5,32.1,10,25,79,81,84,60,292.57,100,32.5,3.5,0,34.7,8.5,26.9
Turkey,41636,42703,84339,76.4,80.7,78.6,67.8,69,68.4,17,97,9,5,-,15,-,0.11,0,15.6,2.4,1.8,6.7,60.1,14.7,0,79,3.2,0.4,46.6,0.3,0.4,30.7,98,93,95,-,0.35,-,19.3,30.5,3.9,4.1,-,-,-,9.5,-,1.7,-,-,12,32,-,78,-,63,66.21,95,36.9,4.8,0,32.8,11.5,32.1
Turkmenistan,2969,3062,6031,66.5,73,69.7,59.9,64.3,62.1,7,100,42,24,-,47,-,0.07,395,27.7,5.7,3.1,13.5,79.6,22.4,0,73,-,-,79.3,4,0.6,5.5,98,99,23,99,0.66,-,22.2,44.3,1.2,1.7,81,-,-,8.7,7.6,4.1,3.8,26.6,-,-,95,-,100,-,0.01,100,33.3,2.8,0,39,4.7,18.6
Tuvalu,-,-,12,-,-,-,-,-,-,-,100,22,10,-,296,-,0.24,11500,-,-,1.3,-,-,43.8,0,52,-,-,-,-,-,35.6,95,85,-,-,82.02,-,11.9,34.7,0.8,1.7,61,-,-,13.8,9.7,-,6.4,27.5,20,39,-,-,-,2,3.27,71,-,-,-,50.4,27.2,51.6
Uganda,22547,23194,45741,63.2,70.1,66.7,56,60.4,58.2,375,74,43,19,0.95,196,283.8,0.96,23171373,21.2,4.6,12.5,29.4,55.1,127.9,1.1,50,15.3,3.8,155.7,31.6,1.7,8.4,89,-,89,30,5.21,-,1.5,16.4,-,0.4,68,75,88,3.1,27.9,3.5,4,32.8,26,45,17,-,23,-,167.65,1,45.7,13.9,0,32.5,1.7,5.3
Ukraine,20263,23471,43734,68,77.8,73,60.6,67.8,64.3,19,100,8,5,0.21,73,-,0.25,17,25.5,21.6,8.3,10.2,68,14.7,0.1,73,8.3,1.1,70.7,0.3,2.5,25.8,81,82,-,-,0.83,19.8,29.9,66.6,6,0.3,65,18,50,7.7,15.9,-,17,17.7,9,18,89,72,-,34,35.96,95,14.9,6.3,0,43.1,7,24.1
United Arab Emirates,6836,3054,9890,75.1,78.4,76.1,65.8,66.2,66,3,99,7,4,0.13,1,-,0.02,78,18.5,6.4,3.8,8.9,-,3.7,0,78,0.4,-,54.7,-,0.4,-,90,92,84,29,-,-,26,57.5,6.7,12.1,96,43,54,7.4,-,-,-,24.3,-,-,-,99,-,96,-,100,42.2,0.7,0,41.4,17.3,31.7
United Kingdom,33542,34344,67886,79.8,83,81.4,69.6,70.6,70.1,7,-,4,3,-,7,-,0.41,0,10.3,7.9,11.4,3.2,86.5,10.9,0,88,2.3,0.4,13.8,0.2,0.3,15.4,93,87,91,64,-,-,30,88.5,5.4,8.4,93,4,10,19.7,-,-,-,11.1,4,24,100,98,-,99,-,100,10.4,1.3,0,26.4,10.2,27.8
