Country,Total populationa (000s) / Male,Total populationa (000s) / Female,Total populationa (000s) / Both sexes,Life expectancy at birthb (years) / Male,Life expectancy at birthb (years) / Female,Life expectancy at birthb (years) / Both sexes,Healthy life expectancy at birthb (years) / Male,Healthy life expectancy at birthb (years) / Female,Healthy life expectancy at birthb (years) / Both sexes,Maternal mortality ratioc (per 100 000 live births),Proportion of births attended by skilled health personneld (%),Under-five mortality ratee (per 1000 live births),Neonatal mortality ratee (per 1000 live births),New HIV infectionsf (per 1000 uninfected population),Tuberculosis incidenceg (per 100 000 population),Malaria incidenceh (per 1000 population at risk),Hepatitis B surface antigen (HBsAg) prevalence among children under 5 yearsi (%),Reported number of people requiring interventions against NTDsj,"Probability of dying from any of CVD, cancer, diabetes, CRD between age 30 and exact age 70k (%)",Suicide mortality ratek (per 100 000 population),Total alcohol per capita (≥ 15 years of age) consumptionl (litres of pure alcohol),Road traffic mortality ratek (per 100 000 population),Proportion of women of reproductive age who have their need for family planning satisfied with modern methodsm (%),Adolescent birth raten (per 1000 women aged 15–19 years),Adolescent birth raten (per 1000 women aged 10-14 years),UHC: Service coverage indexo,Population with household expenditures on health > 10% of total household expenditure or incomep (%),Population with household expenditures on health > 25% of total household expenditure or incomep (%),Age-standardized mortality rate attributed to household and ambient air pollutionq  (per 100 000 population) ,Mortality rate attributed to exposure to unsafe WASH servicesr (per 100 000 population),Mortality rate from unintentional poisoningk (per 100 000 population),Age-standardized prevalence of tobacco use among persons 15 years and olders  (%) ,Diphtheria-tetanus-pertussis (DTP3) immunization coverage among 1-year-oldst (%),Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended aget (%) ,Pneumococcal conjugate 3rd dose (PCV3) immunization coverage  among 1-year oldst (%),Human papillomavirus (HPV) immunization coverage estimates among 15 year-old girlst (%),"Total net official development assistance to medical research and basic health sectors per capitau (US$), by recipient country

",Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basisv (%),Density of medical doctorsw (per 10 000 population) ,Density of nursing and midwifery personnelw (per 10 000 population) ,Density of dentistsw (per 10 000 population) ,Density of pharmacistsw (per 10 000 population) ,Average of 13 International Health Regulations core capacity scoresx,Proportion of bloodstream infections due methicillin-resistant Staphylococcus aureusy (%),Proportion of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporiny (%),Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE)z (%),Prevalence of stunting in children under 5aa (%),Prevalence of wasting in children under 5aa (%),Prevalence of overweight in children under 5aa (%),Prevalence of anaemia in women of reproductive age (15–49 years)ab  (%),Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 monthsac (%) ,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetimeac (%) ,Proportion of population using safely-managed drinking-water servicesad (%),Proportion of population using safely-managed sanitation servicesad (%),Proportion of population using a hand-washing facility with soap and waterad (%),Proportion of safely treated domestic wastewater flowsae (%),Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending planaf (constant 2020 US$ millions),Proportion of population with primary reliance on clean fuels and technologyag (%),Annual mean concentrations of fine particulate matter (PM2.5) in urban areasag (µg/m3),Mortality rate due to homicidek (per 100 000 population),Number of cases of poliomyelitis caused by wild poliovirus (WPV)ah,Age-standardized prevalence of hypertension among adults aged 30-79 yearsai (%),Prevalence of obesity among children and adolescents (5–19 years)aj (%),Age-standardized prevalence of obesity among adults (18+ years)aj (%)
Malawi,9434,9696,19130,62.3,68.9,65.6,55.1,59,57.1,349,96,39,19,1.21,141,228.5,1.39,12761253,22.6,5.4,4.1,33.4,73.9,101.8,2.8,48,4.4,1,115,28.3,1.7,10.8,94,75,93,77,8.26,-,0.5,7.1,-,-,50,61,57,8.7,37,0.6,4.7,31.4,17,30,-,24,8,6,90.47,1,24.6,2.2,1,29.5,2,5.8
Malaysia,16631,15735,32366,72.6,77.1,74.7,64.5,66.9,65.7,29,100,9,5,0.19,92,0,0.06,19110,18.4,5.7,0.9,22.5,-,8.6,0.1,76,1.5,0.1,47.4,0.4,0.7,22.5,98,84,-,84,0.17,-,22.9,34.8,3.1,3.5,85,17,26,8.5,20.9,9.7,6.1,32,-,19,94,-,-,88,0.63,96,17.1,2.7,0,40.8,12.7,15.6
Maldives,343,198,541,78.6,80.8,79.6,69.7,70,70,53,100,6,4,-,37,-,0.21,330,11.6,2.7,2.8,1.6,29.2,5.9,0.1,69,10.3,4.1,25.6,0.3,-,25.2,99,96,-,68,69.47,-,20.5,46.6,0.9,6.5,49,-,-,19.1,14.2,9.1,4.6,52.2,6,19,-,-,96,-,13.68,99,10.4,1.9,0,34.1,7.4,8.6
Mali,10145,10106,20251,62.2,63.4,62.8,54.8,54.5,54.6,562,67,91,32,0.27,52,357.5,4.62,7946641,22.3,4.1,1.3,22.7,41.2,164,6.8,42,2.1,-,209.1,70.7,2.9,8.3,70,26,66,-,6.74,0,1.3,4.4,-,-,44,80,61,5.7,25.7,9.3,2.1,59,18,29,-,20,17,-,117.24,1,63.1,10.7,0,34.6,2.6,8.6
Malta,221,220,442,79.9,83.8,81.9,70.9,71.9,71.5,6,100,6,4,-,36,-,0.2,2,10.5,6.1,8.3,4.1,-,12,0.1,81,15.9,2.8,20.2,-,0.1,24,98,99,-,85,-,-,28.6,94.8,4.8,12.9,73,20,12,14.1,-,-,-,13.7,4,17,100,92,-,15,-,100,13.2,1,0,29.5,13.4,28.9
Marshall Islands,-,-,59,-,-,-,-,-,-,-,92,31,14,-,483,-,0.35,19594,-,-,-,-,-,-,-,62,-,-,-,-,-,28.5,-,-,-,17,121.42,-,4.2,33.4,1.2,0.7,-,-,-,10.5,32.2,3.5,4.2,30.6,19,38,-,-,85,-,3.65,64,-,-,-,31.9,26.6,52.9
Mauritania,2335,2315,4650,68.1,68.7,68.4,60.2,59.4,59.8,766,69,71,31,-,87,30,3.35,844271,16.1,3.1,0,25.6,30.4,84,8.4,40,11.7,3,169.5,38.6,1.5,10.7,71,-,70,-,9.77,-,1.9,9.3,0.5,0.2,34,-,-,7,24.2,11.5,2.7,43.3,-,-,-,-,-,-,60,43,78.1,10.9,0,37.9,4,12.7
Mauritius,627,644,1272,71,77.3,74.1,62,65.9,63.9,61,100,17,11,0.8,12,-,0.41,0,23.2,9.5,4.8,12.2,40.8,23.7,0.6,65,8.2,1.9,38.3,0.6,0.8,20.2,93,87,86,74,1.08,-,27.1,39.3,2.8,5.9,51,40,50,10.2,8.7,-,7.6,23.5,-,-,-,-,-,13,9.37,97,9.5,2.3,0,33.1,4.4,10.8
Mexico,63071,65861,128933,73.1,78.9,76,64.3,67.2,65.8,33,97,14,8,0.16,24,0.1,0.03,20016375,15.6,5.3,5,12.8,79.8,70.5,0.8,74,1.6,0.2,36.7,1.1,0.4,13.1,74,78,75,5,0.07,-,24.3,28.2,1.3,-,84,-,-,10.3,12.1,1.4,6.3,15.3,10,24,43,57,-,60,1.34,85,22.8,25.4,0,32.1,14.8,28.9
Micronesia (Federated States of),58,57,115,60.3,66,63,54.4,57.8,56,88,-,25,13,-,75,-,0.4,70736,46.3,28.2,2.5,0.2,-,-,-,48,-,-,151.8,3.6,0.9,-,83,62,79,37,62.23,-,9.4,21.5,-,-,43,-,-,5.4,-,-,-,25,21,35,-,-,-,-,1.66,13,10.8,4.6,0,32.9,20.7,45.8
